Date,Weekday,Status,EMDI,RDI,BINS,Comment
2016-10-17,Mon,Normal trading day,Available,Available,Available,
2016-10-18,Tue,Normal trading day,Available,Available,Available,
2016-10-19,Wed,Normal trading day,Available,Available,Available,
2016-10-20,Thu,Normal trading day,Available,Available,Available,
2016-10-21,Fri,Normal trading day,Available,Available,Available,
2016-10-22,Sat,No trading day,Available,Not available,Not available,
2016-10-23,Sun,No trading day,Available,Not available,Not available,
2016-10-24,Mon,Normal trading day,Available,Available,Available,
2016-10-25,Tue,Normal trading day,Available,Available,Available,
2016-10-26,Wed,Normal trading day,Available,Available,Available,
2016-10-27,Thu,Normal trading day,Available,Available,Available,
2016-10-28,Fri,Normal trading day,Available,Available,Available,
2016-10-29,Sat,No trading day,Available,Not available,Not available,
2016-10-30,Sun,No trading day,Available,Not available,Not available,
2016-10-31,Mon,Normal trading day,Available,Available,Available,
2016-11-01,Tue,Normal trading day,Available,Available,Available,
2016-11-02,Wed,Normal trading day,Available,Available,Available,
2016-11-03,Thu,Normal trading day,Available,Available,Available,
2016-11-04,Fri,Normal trading day,Available,Available,Available,
2016-11-05,Sat,No trading day,Available,Not available,Not available,
2016-11-06,Sun,No trading day,Available,Not available,Not available,
2016-11-07,Mon,Normal trading day,Available,Available,Available,
2016-11-08,Tue,Normal trading day,Available,Available,Available,
2016-11-09,Wed,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-11-10,Thu,Normal trading day,Available,Available,Available,
2016-11-11,Fri,Normal trading day,Available,Available,Available,
2016-11-12,Sat,No trading day,Available,Not available,Not available,
2016-11-13,Sun,No trading day,Available,Not available,Not available,
2016-11-14,Mon,Normal trading day,Available,Available,Available,
2016-11-15,Tue,Normal trading day,Available,Available,Available,
2016-11-16,Wed,Normal trading day,Available,Available,Available,
2016-11-17,Thu,Normal trading day,Available,Available,Available,
2016-11-18,Fri,Normal trading day,Available,Available,Available,
2016-11-19,Sat,No trading day,Available,Available,Not available,
2016-11-20,Sun,No trading day,Available,Available,Not available,
2016-11-21,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-11-22,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-11-23,Wed,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-11-24,Thu,Normal trading day,Available,Available,Available,
2016-11-25,Fri,Normal trading day,Available,Available,Available,
2016-11-26,Sat,No trading day,Available,Not available,Not available,
2016-11-27,Sun,No trading day,Available,Not available,Not available,
2016-11-28,Mon,Normal trading day,Available,Available,Available,
2016-11-29,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-11-30,Wed,Normal trading day,Available,Available,Available,
2016-12-01,Thu,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-02,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-03,Sat,No trading day,Available,Not available,Not available,
2016-12-04,Sun,No trading day,Available,Not available,Not available,
2016-12-05,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-06,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-07,Wed,Normal trading day,Available,Available,Available,
2016-12-08,Thu,Normal trading day,Available,Available,Available,
2016-12-09,Fri,Normal trading day,Available,Available,Available,
2016-12-10,Sat,No trading day,Available,Not available,Not available,
2016-12-11,Sun,No trading day,Available,Not available,Not available,
2016-12-12,Mon,Normal trading day,Available,Available,Available,
2016-12-13,Tue,Normal trading day,Available,Available,Available,
2016-12-14,Wed,Normal trading day,Available,Available,Available,
2016-12-15,Thu,Normal trading day,Available,Available,Available,
2016-12-16,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-17,Sat,No trading day,Available,Not available,Not available,
2016-12-18,Sun,No trading day,Available,Not available,Not available,
2016-12-19,Mon,Normal trading day,Available,Available,Available,
2016-12-20,Tue,Normal trading day,Available,Available,Available,
2016-12-21,Wed,Normal trading day,Available,Available,Available,
2016-12-22,Thu,Normal trading day,Available,Available,Available,
2016-12-23,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2016-12-24,Sat,Holiday,Available,Not available,Not available,
2016-12-25,Sun,Holiday,Available,Not available,Not available,
2016-12-26,Mon,Holiday,Available,Not available,Not available,
2016-12-27,Tue,Normal trading day,Available,Available,Available,
2016-12-28,Wed,Normal trading day,Available,Available,Available,
2016-12-29,Thu,Normal trading day,Available,Available,Available,
2016-12-30,Fri,Normal trading day,Available,Available,Available,
2016-12-31,Sat,Holiday,Available,Not available,Not available,
2017-01-01,Sun,Holiday,Available,Not available,Not available,
2017-01-02,Mon,Normal trading day,Available,Available,Available,
2017-01-03,Tue,Normal trading day,Available,Available,Available,
2017-01-04,Wed,Normal trading day,Available,Available,Available,
2017-01-05,Thu,Normal trading day,Available,Available,Available,
2017-01-06,Fri,Normal trading day,Available,Available,Available,
2017-01-07,Sat,No trading day,Available,Not available,Not available,
2017-01-08,Sun,No trading day,Available,Not available,Not available,
2017-01-09,Mon,Normal trading day,Available,Available,Available,
2017-01-10,Tue,Normal trading day,Available,Available,Available,
2017-01-11,Wed,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2017-01-12,Thu,Normal trading day,Available,Available,Available,
2017-01-13,Fri,Normal trading day,Available,Available,Available,
2017-01-14,Sat,No trading day,Not available,Not available,Not available,
2017-01-15,Sun,No trading day,Not available,Not available,Not available,
2017-01-16,Mon,Normal trading day,Available,Available,Available,
2017-01-17,Tue,Normal trading day,Available,Available,Available,
2017-01-18,Wed,Normal trading day,Available,Available,Available,
2017-01-19,Thu,Normal trading day,Available,Available,Available,
2017-01-20,Fri,Normal trading day,Available,Available,Available,
2017-01-21,Sat,No trading day,Not available,Not available,Not available,
2017-01-22,Sun,No trading day,Not available,Not available,Not available,
2017-01-23,Mon,Normal trading day,Available,Available,Available,
2017-01-24,Tue,Normal trading day,Available,Available,Not available,Technical Issue (power outage)
2017-01-25,Wed,Normal trading day,Available,Available,Available,
2017-01-26,Thu,Normal trading day,Available,Available,Available,
2017-01-27,Fri,Normal trading day,Available,Available,Available,
2017-01-28,Sat,No trading day,Not available,Not available,Not available,
2017-01-29,Sun,No trading day,Not available,Not available,Not available,
2017-01-30,Mon,Normal trading day,Available,Available,Available,
2017-01-31,Tue,Normal trading day,Available,Available,Available,
2017-02-01,Wed,Normal trading day,Available,Available,Available,
2017-02-02,Thu,Normal trading day,Available,Available,Available,
2017-02-03,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2017-02-04,Sat,No trading day,Not available,Not available,Not available,
2017-02-05,Sun,No trading day,Not available,Not available,Not available,
2017-02-06,Mon,Normal trading day,Available,Available,Available,
2017-02-07,Tue,Normal trading day,Available,Available,Available,
2017-02-08,Wed,Normal trading day,Available,Available,Available,
2017-02-09,Thu,Normal trading day,Available,Available,Available,
2017-02-10,Fri,Normal trading day,Available,Available,Available,
2017-02-11,Sat,No trading day,Available,Not available,Not available,
2017-02-12,Sun,No trading day,Available,Not available,Not available,
2017-02-13,Mon,Normal trading day,Available,Available,Available,
2017-02-14,Tue,Normal trading day,Available,Available,Available,
2017-02-15,Wed,Normal trading day,Available,Available,Available,
2017-02-16,Thu,Normal trading day,Available,Available,Available,
2017-02-17,Fri,Normal trading day,Available,Available,Available,
2017-02-18,Sat,No trading day,Available,Available,Not available,
2017-02-19,Sun,No trading day,Available,Available,Not available,
2017-02-20,Mon,Normal trading day,Available,Available,Available,
2017-02-21,Tue,Normal trading day,Available,Available,Available,
2017-02-22,Wed,Normal trading day,Available,Available,Available,
2017-02-23,Thu,Normal trading day,Available,Available,Available,
2017-02-24,Fri,Normal trading day,Available,Available,Available,
2017-02-25,Sat,No trading day,Available,Available,Not available,
2017-02-26,Sun,No trading day,Available,Available,Not available,
2017-02-27,Mon,Normal trading day,Available,Available,Available,
2017-02-28,Tue,Normal trading day,Available,Available,Available,
2017-03-01,Wed,Normal trading day,Available,Available,Available,
2017-03-02,Thu,Normal trading day,Available,Available,Available,
2017-03-03,Fri,Normal trading day,Available,Available,Available,
2017-03-04,Sat,No trading day,Available,Available,Not available,
2017-03-05,Sun,No trading day,Available,Available,Not available,
2017-03-06,Mon,Normal trading day,Available,Available,Available,
2017-03-07,Tue,Normal trading day,Available,Available,Available,
2017-03-08,Wed,Normal trading day,Available,Available,Available,
2017-03-09,Thu,Normal trading day,Available,Available,Available,
2017-03-10,Fri,Normal trading day,Available,Available,Available,
2017-03-11,Sat,No trading day,Available,Available,Not available,
2017-03-12,Sun,No trading day,Available,Available,Not available,
2017-03-13,Mon,Normal trading day,Available,Available,Available,
2017-03-14,Tue,Normal trading day,Available,Available,Available,
2017-03-15,Wed,Normal trading day,Available,Available,Available,
2017-03-16,Thu,Normal trading day,Available,Available,Available,
2017-03-17,Fri,Normal trading day,Available,Available,Available,
2017-03-18,Sat,No trading day,Available,Available,Not available,
2017-03-19,Sun,No trading day,Available,Available,Not available,
2017-03-20,Mon,Normal trading day,Available,Available,Available,
2017-03-21,Tue,Normal trading day,Available,Available,Available,
2017-03-22,Wed,Normal trading day,Available,Available,Available,
2017-03-23,Thu,Normal trading day,Available,Available,Available,
2017-03-24,Fri,Normal trading day,Available,Available,Available,
2017-03-25,Sat,No trading day,Available,Not available,Not available,
2017-03-26,Sun,No trading day,Available,Not available,Not available,
2017-03-27,Mon,Normal trading day,Available,Available,Available,
2017-03-28,Tue,Normal trading day,Available,Available,Available,
2017-03-29,Wed,Normal trading day,Available,Available,Available,
2017-03-30,Thu,Normal trading day,Available,Available,Available,
2017-03-31,Fri,Normal trading day,Available,Available,Available,
2017-04-01,Sat,No trading day,Available,Not available,Not available,
2017-04-02,Sun,No trading day,Available,Not available,Not available,
2017-04-03,Mon,Normal trading day,Available,Available,Available,
2017-04-04,Tue,Normal trading day,Available,Available,Available,
2017-04-05,Wed,Normal trading day,Available,Available,Available,
2017-04-06,Thu,Normal trading day,Available,Available,Available,
2017-04-07,Fri,Normal trading day,Available,Available,Available,
2017-04-08,Sat,No trading day,Available,Not available,Not available,
2017-04-09,Sun,No trading day,Available,Not available,Not available,
2017-04-10,Mon,Normal trading day,Available,Available,Available,
2017-04-11,Tue,Normal trading day,Available,Available,Available,
2017-04-12,Wed,Normal trading day,Available,Available,Available,
2017-04-13,Thu,Normal trading day,Available,Available,Available,
2017-04-14,Fri,Holiday,Available,Not available,Not available,
2017-04-15,Sat,No trading day,Available,Not available,Not available,
2017-04-16,Sun,No trading day,Available,Not available,Not available,
2017-04-17,Mon,Holiday,Available,Not available,Not available,
2017-04-18,Tue,Normal trading day,Available,Available,Available,
2017-04-19,Wed,Normal trading day,Available,Available,Available,
2017-04-20,Thu,Normal trading day,Available,Available,Available,
2017-04-21,Fri,Normal trading day,Available,Available,Available,
2017-04-22,Sat,No trading day,Available,Not available,Not available,
2017-04-23,Sun,No trading day,Available,Not available,Not available,
2017-04-24,Mon,Normal trading day,Available,Available,Available,
2017-04-25,Tue,Normal trading day,Available,Available,Available,
2017-04-26,Wed,Normal trading day,Available,Available,Available,
2017-04-27,Thu,Normal trading day,Available,Available,Available,
2017-04-28,Fri,Normal trading day,Available,Available,Available,
2017-04-29,Sat,No trading day,Available,Available,Not available,
2017-04-30,Sun,No trading day,Available,Available,Not available,
2017-05-01,Mon,Holiday,Available,Available,Not available,
2017-05-02,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2017-05-03,Wed,Normal trading day,Available,Available,Available,
2017-05-04,Thu,Normal trading day,Available,Available,Available,
2017-05-05,Fri,Normal trading day,Available,Available,Available,
2017-05-06,Sat,No trading day,Not available,Not available,Not available,
2017-05-07,Sun,No trading day,Not available,Not available,Not available,
2017-05-08,Mon,Normal trading day,Available,Available,Available,
2017-05-09,Tue,Normal trading day,Available,Available,Available,
2017-05-10,Wed,Normal trading day,Available,Available,Available,
2017-05-11,Thu,Normal trading day,Available,Available,Available,
2017-05-12,Fri,Normal trading day,Available,Available,Available,
2017-05-13,Sat,No trading day,Available,Not available,Not available,
2017-05-14,Sun,No trading day,Available,Not available,Not available,
2017-05-15,Mon,Normal trading day,Available,Available,Available,
2017-05-16,Tue,Normal trading day,Available,Available,Available,
2017-05-17,Wed,Normal trading day,Available,Available,Available,
2017-05-18,Thu,Normal trading day,Available,Available,Available,
2017-05-19,Fri,Normal trading day,Available,Available,Available,
2017-05-20,Sat,No trading day,Not available,Not available,Not available,
2017-05-21,Sun,No trading day,Not available,Not available,Not available,
2017-05-22,Mon,Normal trading day,Available,Available,Available,
2017-05-23,Tue,Normal trading day,Available,Available,Available,
2017-05-24,Wed,Normal trading day,Available,Available,Available,
2017-05-25,Thu,Normal trading day,Available,Available,Available,
2017-05-26,Fri,Normal trading day,Available,Available,Available,
2017-05-27,Sat,No trading day,Not available,Not available,Not available,
2017-05-28,Sun,No trading day,Not available,Not available,Not available,
2017-05-29,Mon,Normal trading day,Available,Available,Available,
2017-05-30,Tue,Normal trading day,Available,Available,Available,
2017-05-31,Wed,Normal trading day,Available,Available,Available,
2017-06-01,Thu,Normal trading day,Available,Available,Available,
2017-06-02,Fri,Normal trading day,Available,Available,Available,
2017-06-03,Sat,No trading day,Not available,Not available,Not available,
2017-06-04,Sun,No trading day,Not available,Not available,Not available,
2017-06-05,Mon,Normal trading day,Available,Available,Available,
2017-06-06,Tue,Normal trading day,Available,Available,Available,
2017-06-07,Wed,Normal trading day,Available,Available,Available,
2017-06-08,Thu,Normal trading day,Available,Available,Available,
2017-06-09,Fri,Normal trading day,Available,Available,Available,
2017-06-10,Sat,No trading day,Not available,Not available,Not available,
2017-06-11,Sun,No trading day,Not available,Not available,Not available,
2017-06-12,Mon,Normal trading day,Available,Available,Available,
2017-06-13,Tue,Normal trading day,Available,Available,Available,
2017-06-14,Wed,Normal trading day,Available,Available,Available,
2017-06-15,Thu,Normal trading day,Available,Available,Available,
2017-06-16,Fri,Normal trading day,Available,Available,Available,
2017-06-17,Sat,No trading day,Not available,Not available,Not available,
2017-06-18,Sun,No trading day,Not available,Not available,Not available,
2017-06-19,Mon,Normal trading day,Available,Available,Not available,"Technical Issue, Currently under investigations"
2017-06-20,Tue,Normal trading day,Available,Available,Available,
2017-06-21,Wed,Normal trading day,Available,Available,Available,
2017-06-22,Thu,Normal trading day,Available,Available,Available,
2017-06-23,Fri,Normal trading day,Available,Available,Available,
2017-06-24,Sat,No trading day,Not available,Not available,Not available,
2017-06-25,Sun,No trading day,Not available,Not available,Not available,
2017-06-26,Mon,Normal trading day,Available,Available,Available,
2017-06-27,Tue,Normal trading day,Available,Available,Available,
2017-06-28,Wed,Normal trading day,Not available,Available,Not available,"Technical Issue, Currently under investigations"
2017-06-29,Thu,Normal trading day,Available,Available,Available,
2017-06-30,Fri,Normal trading day,Available,Available,Available,
2017-07-01,Sat,No trading day,Not available,Not available,Not available,
2017-07-02,Sun,No trading day,Not available,Not available,Not available,
2017-07-03,Mon,Normal trading day,Available,Available,Available,
2017-07-04,Tue,Normal trading day,Available,Available,Available,
2017-07-05,Wed,Normal trading day,Available,Available,Available,
2017-07-06,Thu,Normal trading day,Available,Available,Available,
2017-07-07,Fri,Normal trading day,Available,Available,Available,
2017-07-08,Sat,No trading day,Not available,Not available,Not available,
2017-07-09,Sun,No trading day,Not available,Not available,Not available,
2017-07-10,Mon,Normal trading day,Available,Available,Available,
2017-07-11,Tue,Normal trading day,Available,Available,Available,
2017-07-12,Wed,Normal trading day,Available,Available,Available,
2017-07-13,Thu,Normal trading day,Available,Available,Available,
2017-07-14,Fri,Normal trading day,Available,Available,Available,
2017-07-15,Sat,No trading day,Not available,Not available,Not available,
2017-07-16,Sun,No trading day,Not available,Not available,Not available,
2017-07-17,Mon,Normal trading day,Available,Available,Available,
2017-07-18,Tue,Normal trading day,Available,Available,Available,
2017-07-19,Wed,Normal trading day,Available,Available,Available,
2017-07-20,Thu,Normal trading day,Available,Available,Available,
2017-07-21,Fri,Normal trading day,Available,Available,Available,
2017-07-22,Sat,No trading day,Not available,Not available,Not available,
2017-07-23,Sun,No trading day,Not available,Not available,Not available,
2017-07-24,Mon,Normal trading day,Available,Available,Available,
2017-07-25,Tue,Normal trading day,Available,Available,Available,
2017-07-26,Wed,Normal trading day,Available,Available,Available,
2017-07-27,Thu,Normal trading day,Available,Available,Available,
2017-07-28,Fri,Normal trading day,Available,Available,Available,
2017-07-29,Sat,No trading day,Not available,Not available,Not available,
2017-07-30,Sun,No trading day,Not available,Not available,Not available,
2017-07-31,Mon,Normal trading day,Available,Available,Available,
2017-08-01,Tue,Normal trading day,Available,Available,Available,
2017-08-02,Wed,Normal trading day,Available,Available,Available,
2017-08-03,Thu,Normal trading day,Available,Available,Available,
2017-08-04,Fri,Normal trading day,Available,Available,Available,
2017-08-05,Sat,No trading day,Not available,Not available,Not available,
2017-08-06,Sun,No trading day,Not available,Not available,Not available,
2017-08-07,Mon,Normal trading day,Available,Available,Available,
2017-08-08,Tue,Normal trading day,Available,Available,Available,
2017-08-09,Wed,Normal trading day,Not available,Available,Not available,"Technical Issue, Currently under investigations"
2017-08-10,Thu,Normal trading day,Available,Available,Available,
2017-08-11,Fri,Normal trading day,Available,Available,Available,
2017-08-12,Sat,No trading day,Not available,Not available,Not available,
2017-08-13,Sun,No trading day,Not available,Not available,Not available,
2017-08-14,Mon,Normal trading day,Available,Available,Available,
2017-08-15,Tue,Normal trading day,Available,Available,Available,
2017-08-16,Wed,Normal trading day,Available,Available,Available,
2017-08-17,Thu,Normal trading day,Available,Available,Available,
2017-08-18,Fri,Normal trading day,Available,Available,Available,
2017-08-19,Sat,No trading day,Not available,Not available,Not available,
2017-08-20,Sun,No trading day,Not available,Not available,Not available,
2017-08-21,Mon,Normal trading day,Available,Available,Available,
2017-08-22,Tue,Normal trading day,Available,Available,Available,
2017-08-23,Wed,Normal trading day,Available,Available,Available,
2017-08-24,Thu,Normal trading day,Available,Available,Available,
2017-08-25,Fri,Normal trading day,Available,Available,Available,
2017-08-26,Sat,No trading day,Not available,Not available,Not available,
2017-08-27,Sun,No trading day,Not available,Not available,Not available,
2017-08-28,Mon,Normal trading day,Available,Available,Available,
2017-08-29,Tue,Normal trading day,Not available,Available,Not available,"Technical Issue, Currently under investigations"
2017-08-30,Wed,Normal trading day,Not available,Available,Not available,"Technical Issue, Currently under investigations"
2017-08-31,Thu,Normal trading day,Not available,Not available,Not available,
