Date,Weekday,Status,EMDI,RDI,BINS,Comment
2014-12-07,Sun,No trading day,Not available,Not available,Not available,
2014-12-08,Mon,Normal trading day,Available,Available,Available,
2014-12-09,Tue,Normal trading day,Available,Available,Available,
2014-12-10,Wed,Normal trading day,Available,Available,Available,
2014-12-11,Thu,Normal trading day,Available,Available,Available,
2014-12-12,Fri,Normal trading day,Available,Available,Available,
2014-12-13,Sat,No trading day,Not available,Not available,Not available,
2014-12-14,Sun,No trading day,Not available,Not available,Not available,
2014-12-15,Mon,Normal trading day,Available,Available,Available,
2014-12-16,Tue,Normal trading day,Available,Available,Available,
2014-12-17,Wed,Normal trading day,Available,Available,Available,
2014-12-18,Thu,Normal trading day,Available,Available,Available,
2014-12-19,Fri,Normal trading day,Available,Available,Available,
2014-12-20,Sat,No trading day,Not available,Not available,Not available,
2014-12-21,Sun,No trading day,Not available,Not available,Not available,
2014-12-22,Mon,Normal trading day,Available,Available,Available,
2014-12-23,Tue,Normal trading day,Available,Available,Available,
2014-12-24,Wed,Holiday,Available,Available,Not available,
2014-12-25,Thu,Holiday,Available,Available,Not available,
2014-12-26,Fri,Holiday,Available,Available,Not available,
2014-12-27,Sat,No trading day,Not available,Not available,Not available,
2014-12-28,Sun,No trading day,Not available,Not available,Not available,
2014-12-29,Mon,Normal trading day,Available,Available,Available,
2014-12-30,Tue,Normal trading day,Available,Available,Available,
2014-12-31,Wed,Holiday,Available,Available,Not available,
2015-01-01,Thu,Holiday,Available,Available,Not available,
2015-01-02,Fri,Normal trading day,Available,Available,Available,
2015-01-03,Sat,No trading day,Not available,Not available,Not available,
2015-01-04,Sun,No trading day,Not available,Not available,Not available,
2015-01-05,Mon,Normal trading day,Available,Available,Available,
2015-01-06,Tue,Normal trading day,Available,Available,Available,
2015-01-07,Wed,Normal trading day,Available,Available,Available,
2015-01-08,Thu,Normal trading day,Available,Available,Available,
2015-01-09,Fri,Normal trading day,Available,Available,Available,
2015-01-10,Sat,No trading day,Not available,Not available,Not available,
2015-01-11,Sun,No trading day,Not available,Not available,Not available,
2015-01-12,Mon,Normal trading day,Available,Available,Available,
2015-01-13,Tue,Normal trading day,Available,Available,Available,
2015-01-14,Wed,Normal trading day,Available,Available,Available,
2015-01-15,Thu,Normal trading day,Available,Available,Available,
2015-01-16,Fri,Normal trading day,Available,Available,Available,
2015-01-17,Sat,No trading day,Not available,Not available,Not available,
2015-01-18,Sun,No trading day,Not available,Not available,Not available,
2015-01-19,Mon,Normal trading day,Available,Available,Available,
2015-01-20,Tue,Normal trading day,Available,Available,Available,
2015-01-21,Wed,Normal trading day,Available,Available,Available,
2015-01-22,Thu,Normal trading day,Available,Available,Available,
2015-01-23,Fri,Normal trading day,Available,Available,Available,
2015-01-24,Sat,No trading day,Not available,Not available,Not available,
2015-01-25,Sun,No trading day,Not available,Not available,Not available,
2015-01-26,Mon,Normal trading day,Available,Available,Available,
2015-01-27,Tue,Normal trading day,Available,Available,Available,
2015-01-28,Wed,Normal trading day,Available,Available,Available,
2015-01-29,Thu,Normal trading day,Available,Available,Available,
